reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,app_name
4891b24a-9791-42b7-82f1-749b07812d2f,Ganesh Wagh,https://play-lh.googleusercontent.com/a-/ALV-UjW_TsjMs9YCq9li2vVUmi7x5Q8GKMY0q7nRQ1syvSaho497DAMz,जय महाराष्ट्र 🚩,5,0,486.0.0.66.70,2024-10-26 11:19:33,,,486.0.0.66.70,Facebook
8ff953bb-fb67-444f-9415-ddd0d7be9130,Virendra Wagh,https://play-lh.googleusercontent.com/a/ACg8ocKd2PaaQMwrSzm6Ms-KB7XCaKnCYssrwk3OJFEVHJH1CBHB8w=mo,Best app,5,0,486.0.0.66.70,2024-10-26 11:19:06,,,486.0.0.66.70,Facebook
bac6a047-5b8e-4e75-add6-2dc6b048bc73,Stan Alex,https://play-lh.googleusercontent.com/a-/ALV-UjU-rqWc2pjkz-9-zzZmP9gXGV67Gi2sFLjMjFC_XBVyepc6HLv3,Good,3,0,481.0.0.61.80,2024-10-26 11:18:48,,,481.0.0.61.80,Facebook
cb556be5-72a2-4001-aea2-263a2f0ef783,Bithika Biswas,https://play-lh.googleusercontent.com/a-/ALV-UjV7oHNnYSGS-QX9ngVOZ_oS4fBVPXSuF6qVMuTPqQ994mcLqow,Not like,1,0,482.0.0.51.80,2024-10-26 11:17:25,,,482.0.0.51.80,Facebook
27ab5179-19c2-4a2b-ba29-6b8d1ab104f8,Sree Narayan,https://play-lh.googleusercontent.com/a-/ALV-UjWPQ1gHjQ4Hw7clzd9xljljMORC6onvbCPeE23lpsbHW9Qn7VE,Nice,5,0,486.0.0.66.70,2024-10-26 11:17:05,,,486.0.0.66.70,Facebook
b7409d13-3cdb-4107-afc6-488811bd6e17,Tutu Tripathy,https://play-lh.googleusercontent.com/a/ACg8ocKWIVy7y4mVuFoyKFL25KegiwK_VIoH_80cWNmJjRkCPkUlhg=mo,Good,4,0,486.0.0.66.70,2024-10-26 11:17:03,,,486.0.0.66.70,Facebook
49eb2345-13cf-4b03-a7d9-bf27afc859ee,PASTORA LINSANGAN,https://play-lh.googleusercontent.com/a-/ALV-UjXidnu4aM23GhqhKVu6gAuPlwQNcbpPRicJL3Q7aLUyKG8rxO0,Very useful,5,0,487.1.0.74.74,2024-10-26 11:17:01,,,487.1.0.74.74,Facebook
51811eb8-7bc2-468b-877d-c3c963f340d7,Lawrence David S,https://play-lh.googleusercontent.com/a/ACg8ocIwM_0mQeNn_vv1798sitP4c06pUhcXeJxVmwJa1eitaqyxxg=mo,good,5,0,467.1.0.52.83,2024-10-26 11:16:22,,,467.1.0.52.83,Facebook
f032a0b7-9825-4006-9d19-d424c6849c08,Milan Bagchi,https://play-lh.googleusercontent.com/a/ACg8ocLMHmqvJyl1oCeHDsfUbHFGTN1S6rEOBlYOCMpdFrsE_IAjQQ=mo,🥺,5,0,483.0.0.51.72,2024-10-26 11:15:58,,,483.0.0.51.72,Facebook
7d0ead77-8203-49fd-9d73-6087a9f6eaca,Ankit Verma,https://play-lh.googleusercontent.com/a-/ALV-UjVTaY1ZBMdC_va1TLBOXNcQ0-Bo3r32uBzyZi9MJJ5p2oyRvFI,hello guys,5,0,487.1.0.74.74,2024-10-26 11:15:40,,,487.1.0.74.74,Facebook
19690ea1-9310-4be6-b87c-0ad3935a8d3e,mathan chemia,https://play-lh.googleusercontent.com/a-/ALV-UjUlLrBDamxUbbsbpsLrm9thNhU0U2t6ZFCig82w0ZPWsacl2y5f,Good,5,0,,2024-10-26 11:14:34,,,,Facebook
23f25184-13db-42eb-89b6-f880516be86b,Janga Shiva,https://play-lh.googleusercontent.com/a/ACg8ocJk_DWnM9z4O8-hSB1EbDfqfGkh9i-WoeGXH6YUBT7--pomcw=mo,M. LLP oili.miin.n,2,0,435.0.0.42.112,2024-10-26 11:14:30,,,435.0.0.42.112,Facebook
